date,nav
08-11-16,20.3933
09-11-16,20.0223
10-11-16,20.3307
11-11-16,19.6688
15-11-16,18.8185
16-11-16,18.9535
17-11-16,18.9532
18-11-16,19.0406
21-11-16,18.5707
22-11-16,18.8635
23-11-16,19.1272
24-11-16,19.1165
25-11-16,19.4209
28-11-16,19.5611
29-11-16,19.5797
30-11-16,19.8028
01-12-16,19.6183
02-12-16,19.363
05-12-16,19.5369
06-12-16,19.586
07-12-16,19.5664
08-12-16,19.9137
09-12-16,19.8522
12-12-16,19.6114
13-12-16,19.5228
14-12-16,19.3482
15-12-16,19.3175
16-12-16,19.2848
19-12-16,19.1592
20-12-16,19.0041
21-12-16,18.993
22-12-16,18.6712
23-12-16,18.5885
26-12-16,18.2627
27-12-16,18.6005
28-12-16,18.6789
29-12-16,18.8982
30-12-16,19.1073
02-01-17,19.2742
03-01-17,19.4265
04-01-17,19.4014
05-01-17,19.7081
06-01-17,19.6633
09-01-17,19.6729
10-01-17,19.8727
11-01-17,20.1234
12-01-17,20.1939
13-01-17,20.2157
16-01-17,20.3409
17-01-17,20.3312
18-01-17,20.4547
19-01-17,20.5244
20-01-17,20.2256
23-01-17,20.3989
24-01-17,20.6132
25-01-17,20.8845
27-01-17,20.9939
30-01-17,21.1097
31-01-17,20.7791
01-02-17,21.2002
02-02-17,21.341
03-02-17,21.3644
06-02-17,21.5979
07-02-17,21.5313
08-02-17,21.6353
09-02-17,21.7013
10-02-17,21.6535
13-02-17,21.6605
14-02-17,21.4596
15-02-17,21.195
16-02-17,21.5583
17-02-17,21.7056
20-02-17,21.8417
21-02-17,22.0254
22-02-17,21.8945
23-02-17,21.8189
27-02-17,21.7938
28-02-17,21.8569
01-03-17,21.9209
02-03-17,21.6109
03-03-17,21.6004
06-03-17,21.7194
07-03-17,21.699
08-03-17,21.6286
09-03-17,21.598
10-03-17,21.5556
14-03-17,21.8958
15-03-17,22.0359
16-03-17,22.3539
17-03-17,22.346
20-03-17,22.3483
21-03-17,22.2255
22-03-17,22.0212
23-03-17,22.2395
24-03-17,22.2728
27-03-17,22.1804
28-03-17,22.3474
29-03-17,22.3877
30-03-17,22.4916
31-03-17,22.6056
03-04-17,22.6919
05-04-17,22.9211
06-04-17,22.9966
07-04-17,22.9884
10-04-17,23.1483
11-04-17,23.338
12-04-17,23.3756
13-04-17,23.3372
17-04-17,23.2837
18-04-17,23.0411
19-04-17,23.1899
20-04-17,23.2711
21-04-17,23.3223
24-04-17,23.5136
25-04-17,23.8674
26-04-17,23.819
27-04-17,23.7067
28-04-17,23.7447
02-05-17,23.862
03-05-17,23.8473
04-05-17,23.9116
05-05-17,23.5813
08-05-17,23.6795
09-05-17,23.8647
10-05-17,24.1655
11-05-17,24.2023
12-05-17,24.0908
15-05-17,24.2884
16-05-17,24.2861
17-05-17,24.1726
18-05-17,23.6869
19-05-17,23.5526
22-05-17,23.359
23-05-17,23.0494
24-05-17,22.7082
25-05-17,22.9375
26-05-17,23.4441
29-05-17,23.2163
30-05-17,23.3829
31-05-17,23.4793
01-06-17,23.5383
02-06-17,23.6803
05-06-17,23.8609
06-06-17,23.6883
07-06-17,23.83
08-06-17,23.9055
09-06-17,23.9956
12-06-17,23.9592
13-06-17,23.9833
14-06-17,23.9139
15-06-17,23.8846
16-06-17,23.9513
19-06-17,24.0386
20-06-17,24.0695
21-06-17,24.078
22-06-17,23.9183
23-06-17,23.618
27-06-17,23.4474
28-06-17,23.5106
29-06-17,23.5228
30-06-17,23.7011
03-07-17,23.9963
04-07-17,23.9607
05-07-17,24.1479
06-07-17,24.2515
07-07-17,24.2558
10-07-17,24.4626
11-07-17,24.3143
12-07-17,24.5341
13-07-17,24.7372
14-07-17,24.7471
17-07-17,24.7805
18-07-17,24.625
19-07-17,24.9518
20-07-17,24.855
21-07-17,24.9234
24-07-17,24.9521
25-07-17,25.0202
26-07-17,25.042
27-07-17,24.9102
28-07-17,25.0718
31-07-17,25.2163
01-08-17,25.1717
02-08-17,25.0465
03-08-17,25.0958
04-08-17,25.3922
07-08-17,25.7318
08-08-17,25.423
09-08-17,24.9837
10-08-17,24.3117
11-08-17,24.2921
14-08-17,24.824
16-08-17,25.0644
17-08-17,25.0501
18-08-17,25.0004
21-08-17,24.6057
22-08-17,24.477
23-08-17,24.8091
24-08-17,25.0198
28-08-17,25.2574
29-08-17,24.9886
30-08-17,25.3603
31-08-17,25.3487
01-09-17,25.6002
04-09-17,25.4619
05-09-17,25.6005
06-09-17,25.6348
07-09-17,25.8237
08-09-17,25.6405
11-09-17,25.829
12-09-17,26.0595
13-09-17,25.9722
14-09-17,26.0717
15-09-17,26.0137
18-09-17,26.1093
19-09-17,26.179
20-09-17,26.1083
21-09-17,25.9379
22-09-17,25.2713
25-09-17,24.9437
26-09-17,25.0008
27-09-17,24.5405
28-09-17,24.6146
29-09-17,24.9151
03-10-17,25.1446
04-10-17,25.1878
05-10-17,25.2597
06-10-17,25.4566
09-10-17,25.4934
10-10-17,25.646
11-10-17,25.4893
12-10-17,25.7684
13-10-17,25.8094
16-10-17,25.8715
17-10-17,25.9922
18-10-17,25.9539
23-10-17,25.9445
24-10-17,25.8954
25-10-17,26.2216
26-10-17,26.3251
27-10-17,26.5058
30-10-17,26.7888
31-10-17,26.7606
01-11-17,26.9924
02-11-17,27.0992
03-11-17,27.1199
06-11-17,27.2994
07-11-17,26.8904
08-11-17,26.6828
09-11-17,26.8581
10-11-17,26.8028
13-11-17,26.6172
14-11-17,26.5337
15-11-17,26.2325
16-11-17,26.5296
17-11-17,26.8875
20-11-17,26.9135
21-11-17,26.9548
22-11-17,26.918
23-11-17,26.9079
24-11-17,27.0209
27-11-17,27.0959
28-11-17,27.136
29-11-17,27.1272
30-11-17,26.894
01-12-17,26.6298
04-12-17,26.6446
05-12-17,26.6635
06-12-17,26.4037
07-12-17,26.8388
08-12-17,27.0941
11-12-17,27.1696
12-12-17,26.9035
13-12-17,26.6423
14-12-17,26.6523
15-12-17,26.8753
18-12-17,27.1282
19-12-17,27.5106
20-12-17,27.516
21-12-17,27.6439
22-12-17,27.7657
26-12-17,27.8836
